articlesShortDescription,Date
"Benchmark iron ore futures in China rose on Friday after September delivery took over as the most-traded contract, but were on course for 10% decline this week on production curbs, while steel prices maintained their upward momentum.",2021-04-02 03:55:16
"China will ensure its crude steel output falls in 2021 and launch a nationwide investigation into the implementation of steel capacity cuts since 2016, industry regulators said on Thursday, as the country aims to meet goals to curb emissions.",2021-04-01 08:55:00
"China will ensure its crude steel output falls in 2021 and launch a nationwide investigation into the implementation of steel capacity cuts since 2016, industry regulators said on Thursday, as the country aims to meet goals to curb emissions.",2021-04-01 08:55:00
"China will ensure its crude steel output falls in 2021 and launch a nationwide investigation into the implementation of steel capacity cuts since 2016, industry regulators said on Thursday, as the country aims to meet goals to curb emissions.",2021-04-01 08:55:00
"China will ensure its crude steel output falls in 2021 and launch a nationwide investigation into the implementation of steel capacity cuts since 2016, industry regulators said on Thursday, as the country aims to meet goals to curb emissions.",2021-04-01 08:55:00
"Chinese steel rebar and hot rolled coil futures rose on Thursday, shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.",2021-04-01 07:24:55
"Chinese steel rebar and hot rolled coil futures rose on Thursday, shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.",2021-04-01 07:24:55
"Chinese steel rebar and hot rolled coil futures rose on Thursday, shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.",2021-04-01 07:24:55
"Chinese steel rebar and hot rolled coil futures rose on Thursday, shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.",2021-04-01 07:24:55
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
Chinese steel rebar and hot rolled coil futures rose on Thursday shored up by expectations of further demand on upbeat economic indicators and Beijing's efforts to stimulate consumption.,2021-04-01 03:58:44
"China's benchmark iron ore futures dropped on Wednesday, as the country's environmental policy implementation weighed on demand for the steelmaking ingredient, while traders were shifting positions for most-traded contract ahead of May delivery.",2021-03-31 07:48:08
"China's benchmark iron ore futures dropped on Wednesday, as the country's environmental policy implementation weighed on demand for the steelmaking ingredient, while traders were shifting positions for most-traded contract ahead of May delivery.",2021-03-31 07:48:08
"China's benchmark iron ore futures dropped on Wednesday, as the country's environmental policy implementation weighed on demand for the steelmaking ingredient, while traders were shifting positions for most-traded contract ahead of May delivery.",2021-03-31 07:48:08
"China's benchmark iron ore futures dropped on Wednesday, as the country's environmental policy implementation weighed on demand for the steelmaking ingredient, while traders were shifting positions for most-traded contract ahead of May delivery.",2021-03-31 07:48:08
"Benchmark iron ore futures in China dipped on Wednesday as environmental policies weighed on demand for the steelmaking ingredient, though upbeat profit at mills limited losses.",2021-03-31 04:17:44
"Benchmark iron ore futures in China dipped on Wednesday as environmental policies weighed on demand for the steelmaking ingredient, though upbeat profit at mills limited losses.",2021-03-31 04:17:44
"Benchmark iron ore futures in China dipped on Wednesday as environmental policies weighed on demand for the steelmaking ingredient, though upbeat profit at mills limited losses.",2021-03-31 04:17:44
"Benchmark iron ore futures in China dipped on Wednesday as environmental policies weighed on demand for the steelmaking ingredient, though upbeat profit at mills limited losses.",2021-03-31 04:17:44
"For those seeking evidence of a new commodity supercycle, and for the sceptics of a sustained boom in natural resources, Australia's government forecaster has it covered.",2021-03-30 09:12:27
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 07:32:33
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 07:32:33
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 07:32:33
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 07:32:33
Risk-on sentiment is timidly reappearing as hopes grow that the Archegos fiasco will just spoil quarterly results at a few big banks without inflicting any systemic global damage.,2021-03-30 07:06:34
"Indonesia is in talks with China's Tsingshan Holding Group and Australia's Fortescue Metals Group to build a new industrial estate for metal smelting near a planned hydropower plant on Borneo island, a minister said on Tuesday.",2021-03-30 04:52:15
"Indonesia is in talks with China's Tsingshan Holding Group and Australia's Fortescue Metals Group to build a new industrial estate for metal smelting near a planned hydropower plant on Borneo island, a minister said on Tuesday.",2021-03-30 04:52:15
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"* Coking coal prices fuelled by supply concerns, rising demand",2021-03-30 03:43:57
"China's top flat steel producers are primed for profit from a post-COVID-19 recovery in global manufacturing and goods demand in 2021, as well as from an emissions-cutting drive that will likely knock out high-cost competitors, sector analysts said.",2021-03-29 23:06:58
"China's top flat steel producers are primed for profit from a post-COVID-19 recovery in global manufacturing and goods demand in 2021, as well as from an emissions-cutting drive that will likely knock out high-cost competitors, sector analysts said.",2021-03-29 23:06:58
"China's top flat steel producers are primed for profit from a post-COVID-19 recovery in global manufacturing and goods demand in 2021, as well as from an emissions-cutting drive that will likely knock out high-cost competitors, sector analysts said.",2021-03-29 23:06:58
"China's top flat steel producers are primed for profit from a post-COVID-19 recovery in global manufacturing and goods demand in 2021, as well as from an emissions-cutting drive that will likely knock out high-cost competitors, sector analysts said.",2021-03-29 23:06:58
"A proposal by Nornickel to distribute its 50% stake in the Bystrinsky copper mine among its own shareholders may ease dividend discussions between the Russian metal producer's two co-owners, analysts said.",2021-03-29 09:55:43
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil both closing at record highs, as attractive industrial profit margins and rising demand amid strong construction and manufacturing activity lifted prices.",2021-03-29 07:58:05
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"Chinese steel futures advanced on Monday, with rebar and hot-rolled coil gaining more than 3%, lifted by attractive industrial profit margins and rising demand amid strong construction and manufacturing activity.",2021-03-29 03:40:27
"The Australian Aboriginal group whose sacred rock shelters Rio Tinto destroyed last year rejected a plan by mining company Fortescue's founder Andrew Forrest to build dams along a river in the same region, citing the cultural damage it would cause.",2021-03-29 03:06:49
"The Australian Aboriginal group whose sacred rock shelters Rio Tinto destroyed last year rejected a plan by mining company Fortescue's founder Andrew Forrest to build dams along a river in the same region, citing the cultural damage it would cause.",2021-03-29 03:06:49
"The Australian Aboriginal group whose sacred rock shelters Rio Tinto destroyed last year rejected a plan by mining company Fortescue's founder Andrew Forrest to build dams along a river in the same region, citing the cultural damage it would cause.",2021-03-29 03:06:16
"The Australian Aboriginal group whose sacred rock shelters Rio Tinto destroyed last year rejected a plan by mining company Fortescue's founder Andrew Forrest to build dams along a river in the same region, citing the cultural damage it would cause.",2021-03-29 03:06:16
"Australian shares edged up on Monday, as higher commodity prices lifted miners and energy stocks on worries that global supplies of crude and refined products could be disrupted for weeks as workers try to dislodge a container blocking the Suez Canal.",2021-03-29 01:20:24
"Australian shares edged up on Monday, as higher commodity prices lifted miners and energy stocks on worries that global supplies of crude and refined products could be disrupted for weeks as workers try to dislodge a container blocking the Suez Canal.",2021-03-29 01:20:24
"Australian shares edged up on Monday, as higher commodity prices lifted miners and energy stocks on worries that global supplies of crude and refined products could be disrupted for weeks as workers try to dislodge a container blocking the Suez Canal.",2021-03-29 01:20:24
"Australia expects to log a record A$136 billion ($103.85 billion) from iron ore exports this financial year, as global steel-making recovers after a COVID-19 led downturn, a government report showed on Monday.",2021-03-29 00:25:48
"Australia expects to log a record A$136 billion ($103.85 billion) from iron ore exports this financial year, as global steel-making recovers after a COVID-19 led downturn, a government report showed on Monday.",2021-03-29 00:25:48
"Australia expects to log a record A$136 billion ($103.85 billion) from iron ore exports this financial year, as global steel-making recovers after a COVID-19 led downturn, a government report showed on Monday.",2021-03-29 00:23:19
"Australia expects to log a record A$136 billion ($103.85 billion) from iron ore exports this financial year, as global steel-making recovers after a COVID-19 led downturn, a government report showed on Monday.",2021-03-29 00:23:19
Rio de Janeiro police have begun investigating allegations brought by Israeli billionaire Beny Steinmetz that Brazilian miner Vale illegally concealed from its shareholders the conditions under which Steinmetz's company BSGR was supposed to mine one of the world's biggest...,2021-03-27 07:09:33
Rio de Janeiro police have begun investigating allegations brought by Israeli billionaire Beny Steinmetz that Brazilian miner Vale illegally concealed from its shareholders the conditions under which Steinmetz's company BSGR was supposed to mine one of the world's biggest...,2021-03-27 07:09:33
Rio de Janeiro police have begun investigating allegations brought by Israeli billionaire Beny Steinmetz that Brazilian miner Vale illegally concealed from its shareholders the conditions under which Steinmetz's company BSGR was supposed to mine one of the world's biggest...,2021-03-27 07:09:33
Rio de Janeiro police have begun investigating allegations brought by Israeli billionaire Beny Steinmetz that Brazilian miner Vale illegally concealed from its shareholders the conditions under which Steinmetz's company BSGR was supposed to mine one of the world's biggest...,2021-03-27 07:09:33
German steelmaker Salzgitter this month started to produce hydrogen using wind power with a view to reducing carbon dioxide emissions (CO2) long term while the European head of ArcelorMittal also told Reuters the company wants to decarbonise its processes.,2021-03-26 11:44:09
German steelmaker Salzgitter this month started to produce hydrogen using wind power with a view to reducing carbon dioxide emissions (CO2) long term while the European head of ArcelorMittal also told Reuters the company wants to decarbonise its processes.,2021-03-26 11:44:09
"ArcelorMittal is looking for partners and public funding to curb carbon emissions from steelmaking in its German operations where alternative technology plans are far advanced, the European head of the world's biggest steel producer said.",2021-03-26 11:04:41
"ArcelorMittal is looking for partners and public funding to curb carbon emissions from steelmaking in its German operations where alternative technology plans are far advanced, the European head of the world's biggest steel producer said.",2021-03-26 11:04:41
"* Miners gain as Chinese iron ore futures hold firm; FMG, RIO up",2021-03-26 01:22:28
"* Miners gain as Chinese iron ore futures hold firm; FMG, RIO up",2021-03-26 01:22:28
"* Miners gain as Chinese iron ore futures hold firm; FMG, RIO up",2021-03-26 01:22:28
"Two civic organizations have asked iron ore miner Vale SA to cease mining operations at its major Serra Norte complex in northern Brazil, according to documents seen by Reuters this week, as a major COVID-19 spike tests the capacity of the region's hospitals.",2021-03-25 17:03:41
"Two civic organizations have asked iron ore miner Vale SA to cease mining operations at its major Serra Norte complex in northern Brazil, according to documents seen by Reuters this week, as a major COVID-19 spike tests the capacity of the region's hospitals.",2021-03-25 17:03:41
Australia's Sundance Resources said on Thursday it has referred its dispute with Congo Republic over the Nabeba iron ore project to arbitration in London under the rules of the International Chamber of Commerce.,2021-03-25 10:23:00
Australia's Sundance Resources said on Thursday it has referred its dispute with Congo Republic over the Nabeba iron ore project to arbitration in London under the rules of the International Chamber of Commerce.,2021-03-25 10:23:00
Australia's Sundance Resources said on Thursday it has referred its dispute with Congo Republic over the Nabeba iron ore project to arbitration in London under the rules of the International Chamber of Commerce.,2021-03-25 10:23:00
"A 200,000-strong Brazilian claimant group said on Wednesday it had failed to resurrect a 5.0 billion pound ($6.9 billion) English lawsuit against Anglo-Australian mining giant BHP over a devastating 2015 dam failure.",2021-03-24 11:05:41
"A 200,000-strong Brazilian claimant group said on Wednesday it had failed to resurrect a 5.0 billion pound ($6.9 billion) English lawsuit against Anglo-Australian mining giant BHP over a devastating 2015 dam failure.",2021-03-24 11:05:41
"Rising COVID-19 caseloads, lockdowns and travel restrictions -- to many people it might feel like little has changed in the past 12 months despite the vaccine rollout.",2021-03-24 08:00:34
"Global miner BHP Group, also a major gas supplier and user, on Wednesday urged rivals to step up trading in the Australian spot gas market and back a domestic price index to help keep government from intervening in the market.",2021-03-24 03:10:24
An Australian Aboriginal group on whose lands Rio Tinto Ltd mines for iron ore said that heritage reforms Rio announced on Tuesday lacked detail and that it had yet to see an improved approach to cultural heritage management.,2021-03-22 21:43:58
A sense of caution is sweeping across markets this morning after Erdogan shocked markets on Saturday by sacking Turkey's respected central bank chief days after a rate hike.,2021-03-22 07:43:12
The Australian and New Zealand dollars weakened against the greenback on Monday as a plunge in the Turkish lira bit into investor appetite for risk as a week of losses for oil and iron ore also hit the commodities-sensitive currencies.,2021-03-22 03:08:22
"Australian shares fell on Monday on heavy selling in insurer stocks after flash floods in the east coast caused massive damage to property and stoked expectations of increased claims, while losses among the mining sector also pressured the index.",2021-03-22 01:06:06
"Australian shares fell on Monday on heavy selling in insurer stocks after flash floods in the east coast caused massive damage to property and stoked expectations of increased claims, while losses among the mining sector also pressured the index.",2021-03-22 01:06:06
"Australian miner Argonaut Resources on Monday said it had started drilling at the Murdie project in South Australia, despite opposition from an Aboriginal group that says the project will damage a sacred area.",2021-03-22 00:39:53
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
"China's crude steel output will peak at around 1.16 billion tonnes in 2025, when carbon emissions in the sector will also reach a peak, a government consultancy said on Saturday.",2021-03-20 11:12:29
* Steel rebar and hot rolled coil gained for the week (Adds details; Updates with closing prices),2021-03-19 07:31:02
* Steel rebar and hot rolled coil gained for the week (Adds details; Updates with closing prices),2021-03-19 07:31:02
* Steel rebar and hot rolled coil gained for the week (Adds details; Updates with closing prices),2021-03-19 07:31:02
* Steel rebar and hot rolled coil gained for the week (Adds details; Updates with closing prices),2021-03-19 07:31:02
"A notice circulating in China's steel industry that threatens output cuts between 30% and 50% for pollution defaulters in the top steelmaking city of Tangshan spurred concerns on Friday over demand for raw materials, pushing down prices.",2021-03-19 06:59:50
"A notice circulating in China's steel industry that threatens output cuts between 30% and 50% for pollution defaulters in the top steelmaking city of Tangshan spurred concerns on Friday over demand for raw materials, pushing down prices.",2021-03-19 06:59:50
"A notice circulating in China's steel industry that threatens output cuts between 30% and 50% for pollution defaulters in the top steelmaking city of Tangshan spurred concerns on Friday over demand for raw materials, pushing down prices.",2021-03-19 06:59:50
"A notice circulating in China's steel industry that threatens output cuts between 30% and 50% for pollution defaulters in the top steelmaking city of Tangshan spurred concerns on Friday over demand for raw materials, pushing down prices.",2021-03-19 06:59:50
Chinese iron ore and coke futures on the Dalian Commodity Exchange slumped on Friday as traders fretted over prospects of further production cuts in the top steelmaking city of Tangshan.,2021-03-19 04:07:52
Chinese iron ore and coke futures on the Dalian Commodity Exchange slumped on Friday as traders fretted over prospects of further production cuts in the top steelmaking city of Tangshan.,2021-03-19 04:07:52
"China's steelmakers foresee a strong second quarter on continued high demand and expect raw material prices to fall from recent peaks as supply tightness eases, the country's steel association said on Thursday.",2021-03-18 15:00:58
"Exxaro Resources Ltd's Chief Executive Officer Mxolisi Mgojo will retire in May 2023 and be succeeded by managing director of minerals Nombasa Tsengwa, the South African mining company said on Thursday.",2021-03-18 08:31:17
"Exxaro Resources Ltd's Chief Executive Officer Mxolisi Mgojo will retire in May 2023 and be succeeded by managing director of minerals Nombasa Tsengwa, the South African mining company said on Thursday.",2021-03-18 08:31:17
"Exxaro Resources Ltd's Chief Executive Officer Mxolisi Mgojo will retire in May 2023 and be succeeded by managing director of minerals Nombasa Tsengwa, the South African mining company said on Thursday.",2021-03-18 08:31:17
"Exxaro Resources Ltd's Chief Executive Officer Mxolisi Mgojo will retire in May 2023 and be succeeded by managing director of minerals Nombasa Tsengwa, the South African mining company said on Thursday.",2021-03-18 08:31:17
"Exxaro Resources Ltd's Chief Executive Officer Mxolisi Mgojo will retire in May 2023 and be succeeded by managing director of minerals Nombasa Tsengwa, the South African mining company said on Thursday.",2021-03-18 08:31:17
"Exxaro Resources Ltd's Chief Executive Officer Mxolisi Mgojo will retire in May 2023 and be succeeded by managing director of minerals Nombasa Tsengwa, the South African mining company said on Thursday.",2021-03-18 08:31:17
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals, while concerns about steel output curbs also underpinned prices.",2021-03-18 07:56:15
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals, while concerns about steel output curbs also underpinned prices.",2021-03-18 07:56:15
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals, while concerns about steel output curbs also underpinned prices.",2021-03-18 07:56:15
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals, while concerns about steel output curbs also underpinned prices.",2021-03-18 07:56:15
"Buoyant iron ore prices have paved the way for mining in Australia's southern Tasmanian state, where developer Venture Resources' project has come under pressure from conservationists over potential impact on a wilderness area.",2021-03-18 06:31:24
South African coal company Exxaro Resources Ltd on Thursday said Chief Executive Officer Mxolisi Mgojo would retire in May 2023.,2021-03-18 06:31:13
South African coal company Exxaro Resources Ltd on Thursday said Chief Executive Officer Mxolisi Mgojo would retire in May 2023.,2021-03-18 06:31:13
South African coal company Exxaro Resources Ltd on Thursday said Chief Executive Officer Mxolisi Mgojo would retire in May 2023.,2021-03-18 06:31:13
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals while concerns about steel output curbs also underpinned prices.",2021-03-18 04:45:33
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals while concerns about steel output curbs also underpinned prices.",2021-03-18 04:45:33
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals while concerns about steel output curbs also underpinned prices.",2021-03-18 04:45:33
"Chinese ferrous futures rose on Thursday, lifted by rising consumption of industrial metals while concerns about steel output curbs also underpinned prices.",2021-03-18 04:45:33
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards...",2021-03-17 17:52:26
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards...",2021-03-17 17:52:26
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards...",2021-03-17 17:52:26
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards...",2021-03-17 17:52:26
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards. ",2021-03-17 17:51:49
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards. ",2021-03-17 17:51:49
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards. ",2021-03-17 17:51:49
"Miners from Australia to Canada are expanding operations despite concerns from indigenous groups about damage to wildlife, water supplies and religious sites, rankling investors who are pressuring the industry to improve its environmental, social and governance (ESG) standards. ",2021-03-17 17:51:49
"ArcelorMittal will offer green certificates to customers willing to pay a premium for low-carbon steel, it said on Wednesday as it also launched a fund to support breakthrough technologies to curb carbon emissions from steelmaking.",2021-03-17 13:33:19
"ArcelorMittal will offer green certificates to customers willing to pay a premium for low-carbon steel, it said on Wednesday as it also launched a fund to support breakthrough technologies to curb carbon emissions from steelmaking.",2021-03-17 13:33:19
* Utilisation rates at coking plants inched up last week (Updates with closing prices),2021-03-17 08:44:37
* Utilisation rates at coking plants inched up last week (Updates with closing prices),2021-03-17 08:44:37
* Utilisation rates at coking plants inched up last week (Updates with closing prices),2021-03-17 08:44:37
* Utilisation rates at coking plants inched up last week (Updates with closing prices),2021-03-17 08:44:37
"Chinese coking coal futures rose more than 3% to a nearly one-month high on Wednesday, propped up by strong demand as coking plants are actively producing to chase profits despite a recent drop in spot coke prices.",2021-03-17 04:29:27
"Chinese coking coal futures rose more than 3% to a nearly one-month high on Wednesday, propped up by strong demand as coking plants are actively producing to chase profits despite a recent drop in spot coke prices.",2021-03-17 04:29:27
"Chinese coking coal futures rose more than 3% to a nearly one-month high on Wednesday, propped up by strong demand as coking plants are actively producing to chase profits despite a recent drop in spot coke prices.",2021-03-17 04:29:27
"Chinese coking coal futures rose more than 3% to a nearly one-month high on Wednesday, propped up by strong demand as coking plants are actively producing to chase profits despite a recent drop in spot coke prices.",2021-03-17 04:29:27
"Vale said the Brazilian miner's board approved the re-election of current CEO Eduardo de Salles Bartolomeo to serve a new three-year term, according to a securities filing on Tuesday.",2021-03-16 13:08:04
"Vale said the Brazilian miner's board approved the re-election of current CEO Eduardo de Salles Bartolomeo to serve a new three-year term, according to a securities filing on Tuesday.",2021-03-16 13:08:04
"March 16 - A look at the day ahead from Danilo Masoni. Exactly one year ago when the S&P 500 fell 12% for its worst day since 1987, markets were busy pricing the COVID-19 recession. Nowadays the V-shaped recovery from that downturn is the main driving force behind price...",2021-03-16 07:59:29
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"* Coking coal, coke futures gain (Updates with closing prices)",2021-03-16 07:22:19
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Benchmark iron ore futures in China gained over 4% on Tuesday, clawing back losses as the market tried to narrow the spread between spot and futures prices, while Tangshan lifting a smog alert also fuelled sentiment.",2021-03-16 03:52:11
"Fortescue Metals Group Ltd is looking to build a green hydrogen plant in Brazil, executives told Reuters on Monday, as the Australian miner acts on recently announced plans to go carbon neutral by 2030.",2021-03-15 18:38:06
"Fortescue Metals Group Ltd is looking to build a green hydrogen plant in Brazil, executives told Reuters on Monday, as the Australian miner acts on recently announced plans to go carbon neutral by 2030.",2021-03-15 18:38:06
"Miner and commodity trader Glencore is combining its copper and zinc marketing operations, which will be run jointly by Jyothish George and Nick Popovic, a source with direct knowledge of the matter said. George will focus on zinc and copper metals and Popovic on zinc and...",2021-03-15 16:22:08
* Steel futures close higher on upbeat economic data (Updates with closing prices),2021-03-15 07:28:42
* Steel futures close higher on upbeat economic data (Updates with closing prices),2021-03-15 07:28:42
